Image Path;IoU Score
100k/val/b266db29-29fa8335;0.33333334
100k/val/b266db29-403143cc;0.51578104
100k/val/b266db29-4d22b355;0.54337656
100k/val/b266db29-c518f15d;0.49560517
100k/val/b266db29-da0abce7;0.8794341
100k/val/b2675b13-d04e4a76;0.43795228
100k/val/b268bb58-5ead8a56;0.6074858
100k/val/b2694461-db4f4470;0.8837518
100k/val/b26aafd1-1bc4dccc;0.58604234
100k/val/b26aafd1-513824d4;0.51770073
100k/val/b26ba07a-1c7593b1;0.5770386
100k/val/b26ba07a-203e440c;0.81047463
100k/val/b26ba07a-2b68a502;0.95195913
100k/val/b26ba07a-38f78442;0.8842716
100k/val/b26ba07a-c7bcbe2d;0.7255005
100k/val/b26ba07a-da78f324;0.9113134
100k/val/b26ba07a-e4ca935c;0.95454234
100k/val/b26ba07a-f781b661;0.50445914
100k/val/b26cfcdc-10346684;0.62353075
100k/val/b26cfcdc-2e290c42;0.4297162
100k/val/b26cfcdc-7b00747d;0.46960747
100k/val/b26cfcdc-eb092da8;0.5230997
100k/val/b26dd913-2888cbfd;0.48849398
100k/val/b26dddb5-28e4a05f;0.5582411
100k/val/b26f7271-d906ee87;0.936629
100k/val/b26f8762-61cfb033;0.25816515
100k/val/b26f9b1e-09c56a3c;0.5792105
100k/val/b26f9b1e-3e172ced;0.5824499
100k/val/b27098c3-0db780d5;0.9110689
100k/val/b27098c3-915a9986;0.5242555
100k/val/b27098c3-c443b6e3;0.823904
100k/val/b27098c3-dedf92b2;0.4535782
100k/val/b270d8e4-0f565398;0.85963833
100k/val/b27127df-eac9b95e;0.7470774
100k/val/b2714f5d-07bf604c;0.58792293
100k/val/b2714f5d-5bc98e55;0.57827157
100k/val/b2715214-13e3dd85;0.6224317
100k/val/b2715214-d38332ea;0.9462848
100k/val/b27369f3-9b9598f4;0.42653984
100k/val/b27369f3-dd3c0b46;0.5401392
100k/val/b2743b5d-e2d585be;0.60952663
100k/val/b2752cd6-12ba5588;0.33063585
100k/val/b275c028-6a0665cb;0.33333334
100k/val/b27688b6-1af27060;0.6084485
100k/val/b27688b6-cd521517;0.5199494
100k/val/b2778280-4179c4af;0.8885075
100k/val/b277a772-08d8d7ad;0.5283428
100k/val/b277a772-715e949c;0.4955871
100k/val/b277a772-848f75a9;0.36227667
100k/val/b277a772-87c10d5c;0.8260428
100k/val/b2794401-ba7d3c05;0.5559106
100k/val/b279bc06-3c8aeb90;0.9471893
100k/val/b279bc06-4fa57251;0.3285999
100k/val/b279bc06-b7bc42a9;0.6267051
100k/val/b27b0cd9-f184d9a3;0.5172986
100k/val/b27cd403-d7616bfa;0.9058148
100k/val/b27cd403-f2d087cc;0.59514016
100k/val/b27cde22-56abd0e1;0.33074328
100k/val/b27d5dcb-5bdec286;0.5943429
100k/val/b27d5dcb-856c0b43;0.5492772
100k/val/b27d5dcb-9230790c;0.45854622
100k/val/b27e8b69-c00092ae;0.56598043
100k/val/b27fdbad-ab895d86;0.634021
100k/val/b27fdbad-ae939e31;0.41182214
100k/val/b280c9c1-4340305f;0.32824436
100k/val/b280c9c1-a75d23e5;0.5169186
100k/val/b2828509-133b042d;0.46204758
100k/val/b2828509-682cd3b2;0.40003186
100k/val/b2828509-8e8fa55f;0.55494183
100k/val/b284c0e8-85fbc42a;0.4422143
100k/val/b284c0e8-b813f3cf;0.8254306
100k/val/b285698b-ff1293ce;0.88966346
100k/val/b2860d72-0b43e851;0.78957975
100k/val/b289f2e8-cec8700d;0.8968701
100k/val/b28aac6c-9f1b99cb;0.44950706
100k/val/b28cb5d3-2cf728ac;0.5178026
100k/val/b28cb5d3-9ff4ab4a;0.65955895
100k/val/b28cb5d3-c4758dfd;0.54737586
100k/val/b28cb5d3-f800ecd2;0.51354283
100k/val/b28cfc9b-224431ab;0.49074763
100k/val/b28ec521-69495052;0.8798647
100k/val/b28ec521-8266e1a4;0.5389235
100k/val/b28ec521-834a964c;0.46158108
100k/val/b28ec521-898e11bd;0.78194493
100k/val/b28f288b-784f7606;0.9384296
100k/val/b28fc734-5add25db;0.905568
100k/val/b29026f0-d5a5ee8c;0.5733947
100k/val/b291cfd6-a46efbcc;0.3246352
100k/val/b291cfd6-a6275049;0.5954274
100k/val/b291cfd6-ff98ba56;0.88483566
100k/val/b29273b2-339a1500;0.6294746
100k/val/b2932832-a2c8f6ef;0.52955097
100k/val/b2932832-df9384eb;0.55312103
100k/val/b2933acb-1e0c16cc;0.33312428
100k/val/b2933acb-e890758f;0.9084331
100k/val/b29377e0-83e8340a;0.7491752
100k/val/b2939bf0-221e1dfb;0.28223124
100k/val/b294386c-24ddd0c3;0.47219014
100k/val/b29511e5-0e7c7013;0.56193686
100k/val/b2965b06-88a1da19;0.5876145
100k/val/b29806ee-7194648d;0.32764867
100k/val/b29806ee-ac06730f;0.9597336
100k/val/b29806ee-e89a39a6;0.4820426
100k/val/b29c2372-b53a797c;0.51487863
100k/val/b29c5efd-754ba560;0.34530532
100k/val/b29f09ea-911177ce;0.5118376
100k/val/b29f09ea-ecd5304b;0.5553312
100k/val/b29f7159-219cf764;0.4640629
100k/val/b29f9214-4846c10c;0.48804557
100k/val/b2a0648b-d8e126bc;0.7821161
100k/val/b2a0dbe8-85f1894e;0.85190916
100k/val/b2a1e013-638d6e4d;0.42750955
100k/val/b2a1e172-a969db88;0.7396555
100k/val/b2a46c1e-87aac2ec;0.83857477
100k/val/b2a4738f-1c4a1373;0.5747587
100k/val/b2a4bc4d-6f7c1727;0.4394662
100k/val/b2a4bc4d-b251ccb1;0.33333334
100k/val/b2a5baf7-58519386;0.57329404
100k/val/b2a60634-0817a6eb;0.626363
100k/val/b2a60634-40847419;0.58176196
100k/val/b2a60634-6e9f96fe;0.5024017
100k/val/b2a60634-ad36f179;0.53833073
100k/val/b2a8e8b4-50058f09;0.315884
100k/val/b2a8e8b4-a4e93829;0.31874096
100k/val/b2a99ee3-5abca703;0.79933417
100k/val/b2a9d547-f7f6fa92;0.70037526
100k/val/b2ae0446-4b0bfda7;0.3589661
100k/val/b2ae0446-f456c162;0.34763512
100k/val/b2ae4fc5-3abd5802;0.7533232
100k/val/b2ae4fc5-d1082ddf;0.5279834
100k/val/b2aefccb-24d289a9;0.69569486
100k/val/b2afce7f-0cb9967a;0.9199902
100k/val/b2b03a01-a60e895f;0.3287587
100k/val/b2b2f563-ec318c61;0.3332773
100k/val/b2b32394-e46669cb;0.5879735
100k/val/b2b70230-bad4ff6e;0.3653142
100k/val/b2b70230-c43553a9;0.43125355
100k/val/b2b74321-f6578001;0.5141263
100k/val/b2bc4efb-a184131d;0.6299416
100k/val/b2bceb54-0b1f3332;0.48966622
100k/val/b2bceb54-4d3cc92c;0.3799692
100k/val/b2bdb7b6-041bebc9;0.57896036
100k/val/b2bdb7b6-137acb11;0.5612799
100k/val/b2bdb7b6-3e75222e;0.55922294
100k/val/b2bdb7b6-602437cb;0.86838096
100k/val/b2bdb7b6-d34fab57;0.60003746
100k/val/b2bdc7e5-b4ebc5bd;0.5644688
100k/val/b2be7200-b6f7fe0a;0.5575826
100k/val/b2bee3e1-80c787bd;0.32640243
100k/val/b2bee3e1-915eb541;0.6333158
100k/val/b2bf0e03-a07f0a81;0.5993223
100k/val/b2bf0e03-a3921cd6;0.9168798
100k/val/b2c0e5c1-9666ba7e;0.31355268
100k/val/b2c23864-810e4e1d;0.92371863
100k/val/b2c2f563-02143de0;0.9054472
100k/val/b2c5110e-09e459e9;0.9190497
100k/val/b2c5110e-ef7e4997;0.64088917
100k/val/b2c542e3-02f579a6;0.4566624
100k/val/b2c7d048-fdd059eb;0.32562461
100k/val/b2c7ebc4-731ea908;0.82461566
100k/val/b2c88d3b-1c1ad881;0.9178376
100k/val/b2c9b221-d447dcc3;0.6908573
100k/val/b2cac490-b27b82da;0.5527704
100k/val/b2cbf6d8-732b47be;0.8900082
100k/val/b2cce432-e17e840e;0.45885167
100k/val/b2cd33bd-a5043d29;0.4926792
100k/val/b2cda443-f7cb5ccf;0.40478143
100k/val/b2cf78ec-6043f571;0.8600869
100k/val/b2d22b2f-8302eb61;0.8771331
100k/val/b2d22b2f-91d0af18;0.6263883
100k/val/b2d3510a-659ae4de;0.9194708
100k/val/b2d49c0c-e888f874;0.8040037
100k/val/b2d4c878-2267ca6d;0.7989082
100k/val/b2d502aa-64d3e228;0.841052
100k/val/b2d502aa-ef17ffbd;0.4768885
100k/val/b2d502aa-f0b28e3e;0.37953615
100k/val/b2d502aa-f8382905;0.33333334
100k/val/b2d502aa-f9141409;0.6218693
100k/val/b2d83b7b-9627ff87;0.44738364
100k/val/b2d8704e-66d10551;0.42476523
100k/val/b2d8704e-9e7dddd6;0.33333334
100k/val/b2d90c73-32ae0488;0.589609
100k/val/b2d9b817-9a617024;0.94823635
100k/val/b2da7e9c-6fe28d5e;0.7881119
100k/val/b2daf29d-6198754f;0.39606938
100k/val/b2db41a2-721e0f4e;0.7726922
100k/val/b2dbb793-305e0fc5;0.82497203
100k/val/b2dbb793-9f0b2bec;0.9008825
100k/val/b2dc7ea5-4a031fdd;0.7816486
100k/val/b2ddae9c-9aafceae;0.48425835
100k/val/b2dde0d9-1303a9ef;0.9358947
100k/val/b2de6f59-9f74dea1;0.92405
100k/val/b2de938e-84eab379;0.9383561
100k/val/b2de938e-a8430554;0.60672355
100k/val/b2e2126b-0512426c;0.89829695
100k/val/b2e2b2be-4142962b;0.6247046
100k/val/b2e2f4ed-6ba045d0;0.9430567
100k/val/b2e431b6-332c438d;0.854675
100k/val/b2e54795-0a58624f;0.5907209
100k/val/b2e54795-0dc285dd;0.60043937
100k/val/b2e54795-349f005b;0.798447
100k/val/b2e54795-601d2d78;0.55357385
100k/val/b2e54795-698ce97f;0.5248784
100k/val/b2e54795-6d4ef5f9;0.56838405
100k/val/b2e54795-d8c2ba6d;0.33333334
100k/val/b2e54795-db1f3bad;0.47760147
100k/val/b2e63097-51c16783;0.51662964
100k/val/b2e73518-547798ef;0.5586024
100k/val/b2e96aa8-3624f23d;0.55135125
100k/val/b2e96aa8-4d92cdf0;0.5517627
100k/val/b2ea3465-78dea25f;0.28944987
100k/val/b2ec68ce-d345784e;0.38771033
100k/val/b2ed13f9-01b4dd4f;0.83488387
100k/val/b2edfbf5-544c4e6e;0.51269805
100k/val/b2edfbf5-e0fc7810;0.4731133
100k/val/b2eed8fa-2694b15d;0.77493906
100k/val/b2eed8fa-cf59a253;0.8832325
100k/val/b2efc911-2ad925b4;0.91492456
100k/val/b2f3d83a-1effdb49;0.84140986
100k/val/b2f48fc3-0b8ff39a;0.6107106
100k/val/b2f48fc3-eda0e217;0.74763644
100k/val/b2f48fc3-f0ddacf0;0.4152771
100k/val/b2f4a409-36a7d7c9;0.5648379
100k/val/b2f4a409-5adcc4f0;0.5913545
100k/val/b2f4a409-5ddff11a;0.56100965
100k/val/b2f4a409-80dacf25;0.6010186
100k/val/b2f4ebb7-ceaa12dc;0.5079636
100k/val/b2f68bad-aa8f35d1;0.5513527
100k/val/b2f6cc51-462c2887;0.91864717
100k/val/b2f9cc9e-809f5cae;0.87406415
100k/val/b2fa3e5f-8c4b06d0;0.3458018
100k/val/b2fbc1aa-b6180041;0.63677776
100k/val/b2fbf86d-d5de82a4;0.9297379
100k/val/b2fc6d24-0af7cdca;0.33333334
100k/val/b2fc7cb5-1635d64b;0.83571994
100k/val/b2fe5d69-f31d4c9b;0.8884768
100k/val/b2fed216-2e5c452d;0.6770825
100k/val/b2ff6aba-fa4ac7d7;0.6160081
100k/val/b3039ada-2ef2a725;0.46349773
100k/val/b3048201-d86d9cd8;0.4100469
100k/val/b305fc0b-ec8916d5;0.37746233
100k/val/b3060c96-d2391b61;0.8962095
100k/val/b3064012-5a01e51a;0.6143429
100k/val/b306fb3f-178fca4e;0.47991467
100k/val/b306fb3f-3118e8b6;0.43474108
100k/val/b306fb3f-f02e46cc;0.5715559
100k/val/b3079ec6-df7b2d92;0.48297438
100k/val/b3091a27-aa7841b5;0.49489087
100k/val/b30af183-3029b316;0.5148291
100k/val/b30af183-e9209104;0.77017164
100k/val/b30b460d-0e26bd8a;0.96814775
100k/val/b30b460d-73d12a29;0.619179
100k/val/b30b460d-7a788684;0.6127447
100k/val/b30b460d-9829fd26;0.94255245
100k/val/b30b460d-f081f92b;0.48146304
100k/val/b30ba07c-6692a0e3;0.54442495
100k/val/b310be3f-c5d5e18c;0.55325663
100k/val/b3110036-a32dc26e;0.6259347
100k/val/b3121071-195ffbf7;0.4896171
100k/val/b3121071-3dfa9124;0.33333334
100k/val/b3121071-461523a5;0.6407521
100k/val/b3121071-581b2755;0.33116066
100k/val/b3121071-6b1e5be7;0.33355165
100k/val/b3121071-afc8cca5;0.33333334
100k/val/b3121071-b9d7694a;0.61775887
100k/val/b3121071-c0fd88c4;0.39998242
100k/val/b3121071-cac49b3a;0.3306221
100k/val/b312dcb5-3c956847;0.9269732
100k/val/b312dcb5-82c0d608;0.63849795
100k/val/b312dcb5-ab4b0e08;0.48784953
100k/val/b312dcb5-fbd7070b;0.62066793
100k/val/b313a4dc-217f1233;0.8894659
100k/val/b3154d05-86ce5ff2;0.49798936
100k/val/b3154d05-8bc595ba;0.4943828
100k/val/b3158519-23c9c58d;0.57583565
100k/val/b3158519-6afea489;0.3355789
100k/val/b3159650-0d7fbee8;0.50786614
100k/val/b3159650-1ba75f9b;0.53811926
100k/val/b315fa95-4aa651f8;0.93375075
100k/val/b319b67e-b43ffc33;0.51640046
100k/val/b31c98f7-a342fff6;0.8910429
100k/val/b31cbddb-e2d8873f;0.31971103
100k/val/b321c6b6-ab603d42;0.7463278
100k/val/b3223c85-fccaf29d;0.9265151
100k/val/b322412a-58073611;0.33443743
100k/val/b322412a-b47af37f;0.61346936
100k/val/b3248383-f66bbcc1;0.47038123
100k/val/b325fe35-b59e4e91;0.92979705
100k/val/b32661a1-57c937fe;0.9371812
100k/val/b329fe7d-f06455d3;0.42586932
100k/val/b32a9f8b-2b3d9894;0.7868849
100k/val/b32f48c8-410503d5;0.5201377
100k/val/b331b06b-83fd459b;0.6347107
100k/val/b3321962-e23b25e3;0.87641925
100k/val/b3329255-4a5988f8;0.50625145
100k/val/b3329255-76b9bb88;0.36555105
100k/val/b332df78-28a61de0;0.5824754
100k/val/b332df78-6765dddc;0.53861356
100k/val/b332df78-76e11eff;0.84693545
100k/val/b332df78-970364e2;0.5285206
100k/val/b332df78-d6228140;0.7222265
100k/val/b332df78-d6c7dff7;0.87526435
100k/val/b3339cd5-06f84bb3;0.569102
100k/val/b3343231-8fe3f2e2;0.9138839
